negative  	{'BIGRAM_hate_https': 0.5, 'TRIGRAM_hate_https_//t.co/8jq411twqn': 0.5, 'UNI_//t.co/8jq411twqn': 0.5, 'TRIGRAM_nvm_hate_https': 0.5, 'BIGRAM_nvm_hate': 0.5, 'UNI_hate': 0.5, 'UNI_https': 0.5, 'UNI_nvm': 0.5, 'BIGRAM_https_//t.co/8jq411twqn': 0.5}
negative  	{'UNI_evergreentweets': 0.5}
negative  	{}
negative  	{'BIGRAM_https_//t.co/n86ajmsdeg': 0.5, 'UNI_//t.co/n86ajmsdeg': 0.5, 'UNI_https': 0.5}
negative  	{'TRIGRAM_network_pull_press': 0.5, 'TRIGRAM_wrong_cnn_cnnpolitics': 0.5, 'BIGRAM_pull_press': 0.5, 'BIGRAM_cnnpolitics_nothing': 0.5, 'TRIGRAM_nothing_hate_division': 0.5, 'UNI_division': 0.5, 'BIGRAM_press_c…': 0.5, 'TRIGRAM_division_coming_network': 0.5, 'TRIGRAM_cnnpolitics_nothing_hate': 0.5, 'UNI_cnn': 0.5, 'UNI_wrong': 0.5, 'TRIGRAM_coming_network_pull': 0.5, 'UNI_nothing': 0.5, 'TRIGRAM_pull_press_c…': 0.5, 'TRIGRAM_wtf_wrong_cnn': 0.5, 'UNI_rockprincess818': 0.5, 'UNI_cnnpolitics': 0.5, 'BIGRAM_hate_division': 0.5, 'UNI_network': 0.5, 'BIGRAM_division_coming': 0.5, 'BIGRAM_network_pull': 0.5, 'UNI_rt': 0.5, 'BIGRAM_cnn_cnnpolitics': 0.5, 'BIGRAM_wrong_cnn': 0.5, 'BIGRAM_rockprincess818_wtf': 0.5, 'BIGRAM_wtf_wrong': 0.5, 'TRIGRAM_hate_division_coming': 0.5, 'UNI_wtf': 0.5, 'UNI_c…': 0.5, 'TRIGRAM_rockprincess818_wtf_wrong': 0.5, 'UNI_press': 0.5, 'TRIGRAM_cnn_cnnpolitics_nothing': 0.5, 'TRIGRAM_rt_rockprincess818_wtf': 0.5, 'UNI_hate': 0.5, 'UNI_coming': 0.5, 'BIGRAM_coming_network': 0.5, 'UNI_pull': 0.5, 'BIGRAM_rt_rockprincess818': 0.5, 'BIGRAM_nothing_hate': 0.5}
negative  	{'UNI_rt': 0.5, 'BIGRAM_vantablvck_b': 0.5, 'TRIGRAM_rt_vantablvck_b': 0.5, 'UNI_b': 0.5, 'BIGRAM_rt_vantablvck': 0.5, 'UNI_happy': 0.5, 'BIGRAM_b_happy': 0.5, 'TRIGRAM_vantablvck_b_happy': 0.5, 'UNI_vantablvck': 0.5}
negative  	{'UNI_hate': 0.5}
negative  	{'BIGRAM_hate_people': 0.5, 'UNI_people': 0.5, 'TRIGRAM_love_people_hate': 0.5, 'BIGRAM_love_people': 0.5, 'BIGRAM_people_hate': 0.5, 'UNI_hate': 0.5, 'TRIGRAM_use_love_people': 0.5, 'UNI_love': 0.5, 'TRIGRAM_people_hate_people': 0.5, 'UNI_use': 0.5, 'BIGRAM_use_love': 0.5}
negative  	{'UNI_live': 0.5, "BIGRAM_n't_drive": 0.5, 'TRIGRAM_wan_na_live': 0.5, 'UNI_wan': 0.5, 'UNI_somewhere': 0.5, 'BIGRAM_drive_cause': 0.5, 'TRIGRAM_fucking_hate_driving': 0.5, 'BIGRAM_live_somewhere': 0.5, 'UNI_drive': 0.5, "BIGRAM_somewhere_n't": 0.5, 'TRIGRAM_drive_cause_fucking': 0.5, 'TRIGRAM_cause_fucking_hate': 0.5, 'BIGRAM_wan_na': 0.5, 'UNI_driving': 0.5, 'BIGRAM_cause_fucking': 0.5, 'BIGRAM_hate_driving': 0.5, "TRIGRAM_live_somewhere_n't": 0.5, 'BIGRAM_na_live': 0.5, 'UNI_na': 0.5, 'UNI_cause': 0.5, "TRIGRAM_n't_drive_cause": 0.5, "UNI_n't": 0.5, 'UNI_hate': 0.5, 'UNI_fucking': 0.5, "TRIGRAM_somewhere_n't_drive": 0.5, 'TRIGRAM_na_live_somewhere': 0.5, 'BIGRAM_fucking_hate': 0.5}
negative  	{'TRIGRAM_amyatrebas_oceanthinker73_stonergrandma': 0.5, 'UNI_yeropinion': 0.5, 'UNI_//t.co/gkbqgxabkt': 0.5, 'UNI_stonergrandma': 0.5, 'BIGRAM_john_wes23…_https': 0.5, 'TRIGRAM_woodywood1999_amyatrebas_oceanthinker73': 0.5, 'UNI_https': 0.5, 'TRIGRAM_yeropinion_arkreader_john_wes23…': 0.5, 'TRIGRAM_john_wes23…_https_//t.co/gkbqgxabkt': 0.5, 'BIGRAM_yeropinion_arkreader': 0.5, 'UNI_lorikaychele': 0.5, 'UNI_woodywood1999': 0.5, 'TRIGRAM_oceanthinker73_stonergrandma_lorikaychele': 0.5, 'BIGRAM_https_//t.co/gkbqgxabkt': 0.5, 'TRIGRAM_lorikaychele_yeropinion_arkreader': 0.5, 'BIGRAM_stonergrandma_lorikaychele': 0.5, 'UNI_arkreader': 0.5, 'BIGRAM_amyatrebas_oceanthinker73': 0.5, 'UNI_john_wes23…': 0.5, 'BIGRAM_woodywood1999_amyatrebas': 0.5, 'BIGRAM_oceanthinker73_stonergrandma': 0.5, 'UNI_amyatrebas': 0.5, 'BIGRAM_arkreader_john_wes23…': 0.5, 'UNI_oceanthinker73': 0.5, 'TRIGRAM_stonergrandma_lorikaychele_yeropinion': 0.5, 'BIGRAM_lorikaychele_yeropinion': 0.5, 'TRIGRAM_arkreader_john_wes23…_https': 0.5}
negative  	{'BIGRAM_rt_femaletexts': 0.5, 'TRIGRAM_kids_assholes_cant': 0.5, 'UNI_like': 0.5, 'BIGRAM_hate_kids': 0.5, 'UNI_kids': 0.5, 'TRIGRAM_femaletexts_hate_kids': 0.5, "TRIGRAM_anything_cause_'re": 0.5, 'BIGRAM_kids_assholes': 0.5, "BIGRAM_cause_'re": 0.5, 'UNI_cant': 0.5, 'TRIGRAM_even_punch_anything': 0.5, "UNI_'re": 0.5, 'UNI_even': 0.5, 'BIGRAM_even_punch': 0.5, 'BIGRAM_assholes_cant': 0.5, 'UNI_smug': 0.5, 'UNI_know': 0.5, 'UNI_cause': 0.5, 'TRIGRAM_hate_kids_assholes': 0.5, 'TRIGRAM_rt_femaletexts_hate': 0.5, 'BIGRAM_cant_even': 0.5, 'TRIGRAM_cant_even_punch': 0.5, 'BIGRAM_femaletexts_hate': 0.5, 'TRIGRAM_assholes_cant_even': 0.5, 'UNI_assholes': 0.5, 'UNI_rt': 0.5, "TRIGRAM_'re_like_9": 0.5, 'TRIGRAM_9_know_smug': 0.5, 'BIGRAM_9_know': 0.5, 'BIGRAM_smug_l…': 0.5, 'BIGRAM_anything_cause': 0.5, 'UNI_9': 0.5, 'TRIGRAM_like_9_know': 0.5, 'TRIGRAM_punch_anything_cause': 0.5, 'BIGRAM_punch_anything': 0.5, 'UNI_anything': 0.5, 'UNI_femaletexts': 0.5, "TRIGRAM_cause_'re_like": 0.5, 'UNI_l…': 0.5, 'UNI_punch': 0.5, 'BIGRAM_know_smug': 0.5, 'BIGRAM_like_9': 0.5, 'UNI_hate': 0.5, 'TRIGRAM_know_smug_l…': 0.5, "BIGRAM_'re_like": 0.5}
negative  	{'TRIGRAM_rooting_stop_hate': 0.5, 'BIGRAM_queen_without': 0.5, "BIGRAM_'re_rooting": 0.5, 'UNI_queen': 0.5, 'UNI_root': 0.5, 'TRIGRAM_without_bringing_one': 0.5, 'TRIGRAM_stop_hate_root': 0.5, 'UNI_stop': 0.5, 'UNI_one': 0.5, 'BIGRAM_hate_root': 0.5, "TRIGRAM_'re_rooting_stop": 0.5, "UNI_'re": 0.5, 'UNI_without': 0.5, 'UNI_rooting': 0.5, "TRIGRAM_rupaulsdragrace_regardless_'re": 0.5, 'UNI_bringing': 0.5, 'UNI_rt': 0.5, 'BIGRAM_root_queen': 0.5, 'BIGRAM_rt_rupaulsdragrace': 0.5, 'TRIGRAM_hate_root_queen': 0.5, 'TRIGRAM_queen_without_bringing': 0.5, 'UNI_rupaulsdragrace': 0.5, 'BIGRAM_stop_hate': 0.5, 'BIGRAM_rooting_stop': 0.5, 'BIGRAM_bringing_one': 0.5, "TRIGRAM_regardless_'re_rooting": 0.5, 'BIGRAM_rupaulsdragrace_regardless': 0.5, "BIGRAM_regardless_'re": 0.5, 'TRIGRAM_rt_rupaulsdragrace_regardless': 0.5, 'UNI_hate': 0.5, 'BIGRAM_without_bringing': 0.5, 'TRIGRAM_root_queen_without': 0.5, 'UNI_regardless': 0.5}
negative  	{'TRIGRAM_moobeat_ye_like': 0.5, 'UNI_ye': 0.5, "BIGRAM_yasuo_'s": 0.5, 'BIGRAM_kacper13x_moobeat': 0.5, 'TRIGRAM_ye_like_colors': 0.5, 'UNI_champs': 0.5, 'BIGRAM_hate_champs': 0.5, "UNI_'s": 0.5, 'UNI_skin': 0.5, "TRIGRAM_yasuo_'s_skin": 0.5, 'UNI_kacper13x': 0.5, 'TRIGRAM_kacper13x_moobeat_ye': 0.5, 'BIGRAM_ye_like': 0.5, "TRIGRAM_'s_skin_hate": 0.5, 'UNI_like': 0.5, 'BIGRAM_colors_yasuo': 0.5, "BIGRAM_'s_skin": 0.5, 'UNI_yasuo': 0.5, 'TRIGRAM_hate_champs_lul': 0.5, 'UNI_moobeat': 0.5, 'BIGRAM_champs_lul': 0.5, 'UNI_colors': 0.5, 'TRIGRAM_like_colors_yasuo': 0.5, 'BIGRAM_skin_hate': 0.5, 'TRIGRAM_skin_hate_champs': 0.5, 'UNI_hate': 0.5, 'UNI_lul': 0.5, 'BIGRAM_like_colors': 0.5, 'BIGRAM_moobeat_ye': 0.5, "TRIGRAM_colors_yasuo_'s": 0.5}
negative  	{'TRIGRAM_stuff_ppl_like': 0.5, 'UNI_like': 0.5, 'UNI_tell': 0.5, 'BIGRAM_tell_quit': 0.5, "TRIGRAM_like_n't_tell": 0.5, 'BIGRAM_finding_stuff': 0.5, 'TRIGRAM_finding_stuff_ppl': 0.5, 'BIGRAM_quit_sneaky': 0.5, "UNI_n't": 0.5, 'BIGRAM_stuff_ppl': 0.5, 'UNI_quit': 0.5, 'UNI_finding': 0.5, 'UNI_sneaky': 0.5, 'UNI_stuff': 0.5, "TRIGRAM_ppl_like_n't": 0.5, "TRIGRAM_n't_tell_quit": 0.5, 'BIGRAM_hate_finding': 0.5, 'BIGRAM_ppl_like': 0.5, 'UNI_hate': 0.5, "BIGRAM_like_n't": 0.5, 'TRIGRAM_tell_quit_sneaky': 0.5, 'UNI_ppl': 0.5, 'TRIGRAM_hate_finding_stuff': 0.5, "BIGRAM_n't_tell": 0.5}
negative  	{'BIGRAM_thejaigaultier_one': 0.5, 'UNI_thejaigaultier': 0.5, 'UNI_talking': 0.5, 'TRIGRAM_plan_never_talking': 0.5, 'BIGRAM_rt_thejaigaultier': 0.5, 'UNI_one': 0.5, 'BIGRAM_gets_confused': 0.5, 'UNI_gets': 0.5, 'BIGRAM_talking_person': 0.5, 'TRIGRAM_confused_ppl_keep': 0.5, 'TRIGRAM_keep_mutual_plan': 0.5, 'BIGRAM_ppl_keep': 0.5, 'BIGRAM_person_h…': 0.5, 'BIGRAM_mutual_plan': 0.5, 'BIGRAM_plan_never': 0.5, 'TRIGRAM_rt_thejaigaultier_one': 0.5, 'TRIGRAM_thejaigaultier_one_gets': 0.5, 'UNI_person': 0.5, 'UNI_rt': 0.5, 'TRIGRAM_talking_person_h…': 0.5, 'UNI_plan': 0.5, 'TRIGRAM_mutual_plan_never': 0.5, 'UNI_never': 0.5, 'BIGRAM_never_talking': 0.5, 'BIGRAM_one_gets': 0.5, 'TRIGRAM_one_gets_confused': 0.5, 'UNI_mutual': 0.5, 'BIGRAM_keep_mutual': 0.5, 'TRIGRAM_never_talking_person': 0.5, 'UNI_keep': 0.5, 'BIGRAM_confused_ppl': 0.5, 'UNI_ppl': 0.5, 'TRIGRAM_ppl_keep_mutual': 0.5, 'UNI_h…': 0.5, 'UNI_confused': 0.5, 'TRIGRAM_gets_confused_ppl': 0.5}
